data_extracao;codigo;nome;telefone;logradouro;numero;latitude;longitude
10/03/2020 01:58;131;BEZERRA DE MENEZES X ASSIS BRASIL;3361-3372 ;R BEZERRA DE MENEZES;102;-30,0117254;-51,16910396
10/03/2020 01:58;452;MARQUÊS DO HERVAL X QUINTINO BOCAIÚVA; ;R. MARQUÊS DO HERVAL ;540;-30,02121306;-51,19886278
10/03/2020 01:58;97;OSCAR BITTENCOURT X JOSÉ DE ALENCAR;3233-2297 ;R DR OSCAR BITTENCOURT ;203;-30,06008925;-51,22475799
10/03/2020 01:58;253;HOTEL TULIP INN;3221-5477 ;AV ALBERTO BINS ;308;-30,02813231;-51,22363816
10/03/2020 01:58;405;VENANCIO AIRES X AUGUSTO PESTANA; ;AV VENANCIO AIRES ;1355;-30,03684344;-51,20893934
10/03/2020 01:58;374;MONTEIRO LOBATO X SÃO MANOEL; ;R MONTEIRO LOBATO ;236;-30,05391333;-51,1970085
10/03/2020 01:58;482;PADRE CACIQUE(BEIRA RIO);;AV PADRE CACIQUE;891;-30,028339;-51,228538
10/03/2020 01:58;357;JERONIMO DE ORNELAS X SANTANA; ;AV JERONIMO DE ORNELAS ;287;-30,04189233;-51,21185058
10/03/2020 01:58;375;MOURA AZEVEDO X PRES FRANKLIN ROOSEVELT; ;R MOURA AZEVEDO ;517;-30,01131932;-51,20448396
10/03/2020 01:58;20;SILVA JARDIM X ANITA GARIBALDI;3331-2612 ;R SILVA JARDIM ;581;-30,0271926;-51,19005908
10/03/2020 01:58;230;GEN CAMARA X GEN ANDRADE NEVES; ;R GEN CAMARA ;376;-30,03073338;-51,22994825
10/03/2020 01:58;284;TRIBUNAL DE JUSTIÇA ESTADUAL;32110505;AV BORGES DE MEDEIROS ;1565;-30,04294623;-51,22887485
10/03/2020 01:58;35;GENERAL PORTINHO X ANDRADAS;3228-7541 ;R GEN PORTINHO ;199;-30,03258918;-51,2374129
10/03/2020 01:58;345;FRANCISCO TREIN X PR SADY CONCEIÇÃO; ;AV FRANCISCO TREIN ;596;-30,01631758;-51,15915801
10/03/2020 01:58;94;JARDIM PLANALTO;3347-2590 ;R VITORIO FRANCISCO GIORDANI ;300;-30,01092165;-51,1356638
10/03/2020 01:58;362;MIN DE OLIVEIRA LIMA X PRESIDENTE JUAREZ; ;R MINISTRO OLIVEIRA LIMA ;21;-30,0039072;-51,14646443
10/03/2020 01:58;403;TITO ZAMBECARI X LUCAS DE OLIVEIRA; ;R TITO LIVIO ZAMBECARI ;167;-30,02873451;-51,1944849
10/03/2020 01:58;128;CUNHA LOUZADA X OSCAR PEREIRA;3339-6812 ;R GEN CUNHA LOUZADA ;10;-30,06937383;-51,2047192
10/03/2020 01:58;299;ABILIO AZAMBUJA X SÃO BENEDITO, PROF.; ;R PROF ABILIO AZAMBUJA ;555;-30,04802983;-51,16659282
10/03/2020 01:58;450;MONTE CRISTO X EDUARDO PRADO; ;AV. MONTE CRISTO ;1194;-30,12330653;-51,22150007
10/03/2020 01:58;102;SHOPPING CENTER IGUATEMI;3334-5545 ;AV JOAO WALLIG ;1800;-30,02544875;-51,16320928
10/03/2020 01:58;220;ZERO HORA; ;R ZERO HORA ;5;-30,04834904;-51,21736294
10/03/2020 01:58;243;MAL FLORIANO PEIXOTO X ANDRADAS; ;R MARECHAL FLORIANO PEIXOTO ;91;-30,02977078;-51,22687454
10/03/2020 01:58;294;COMENDADOR MANOEL PEREIRA X CEL VICENTE; ;R COMENDADOR MANOEL PEREIRA ;72;-30,02595107;-51,22173948
10/03/2020 01:58;13;CARAZINHO X PROTÁSIO ALVES;3334-3123 ;AV PROTASIO ALVES ;2657;-30,04340486;-51,18258903
10/03/2020 01:58;44;CORONEL BORDINI X 24 DE OUTUBRO;3342-5319 ;R CEL BORDINI ;509;-30,02251843;-51,19700871
10/03/2020 01:58;328;CARLOS S. MARTINS PACHECO X ASSIS BRASIL; ;R CARLOS SILVEIRA MARTINS PACHECO ;114;-30,01074627;-51,15942754
10/03/2020 01:58;12;CASTRO DE MENEZES X WENCESLAU ESCOBAR;3264-6299 ;R DR CASTRO DE MENEZES ;700;-30,10173558;-51,24897166
10/03/2020 01:58;324;CONCEIÇÃO X PASSARELA DA RODOVIARIA; ;R DA CONCEICAO ;127;-30,02426168;-51,21955203
10/03/2020 01:58;321;CARLOS P. DE BRUM X FERNANDO M. RIBEIRO; ;R CARLOS PESSOA DE BRUM ;150;-30,0571673;-51,20669018
10/03/2020 01:58;73;CAVALHADA/OTTO;3249-2193 ;R AFONSO ARINOS ;1016;-30,10183766;-51,23181622
10/03/2020 01:58;252;SANTA MARIA X BENTO GONÇALVES; ;R SANTA MARIA ;27;-30,06205919;-51,16777568
10/03/2020 01:58;451;FRANCISCO PETUCO X PLINIO BRASIL MILANO; ;AV FRANCISCO PETUCO ;45;-30,01949809;-51,1755871
10/03/2020 01:58;365;GAL. LIMA E SILVA X LUIZ AFONSO; ;R GEN LIMA E SILVA ;606;-30,03834265;-51,2213245
